tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
CHALLENGER,k_fg3E1RkJjC9np6ffmsBdf8RUyVT8pWRzNytTI6aUdJbNg,전지적테디시점,939,387,350,True,False,False,False
CHALLENGER,Gtj8aMpBL-jA7LFOhmb_G1wfrk7N3w8-Qz4m18wtYsrZlNA,EM Envy,708,346,303,False,False,False,False
CHALLENGER,2FSQzQ42vdAFq_3ViS0s9eURywh7PgSKnBS8DQ2kqzSR2Lw,운이필요하 다,843,477,346,False,False,True,True
CHALLENGER,-AA-QehNpeLq0RcUroJdqCYN31T6UoCsIEhIX2uEJO9I-9M,정중지와1,785,293,226,False,False,False,True
CHALLENGER,mJjs0Om8bxOg_c7q9dDb3qZ7N_QNMJLcUqb_QLJZhMuxsVM,I still remember,1164,1172,1031,True,False,False,True
CHALLENGER,RMbhH1IU-LwYwhRrmxeouHWHXdvFfiRb-Etq34lOGVmqk9k,이 차가 식기전에,1095,876,807,False,False,False,False
CHALLENGER,CfTpgA4s7xUTlexGqD-50A5vi8EK9F8xwiwFCJj_0UuzzsQ,BRB Minit,746,396,351,False,False,False,False
CHALLENGER,ruE39d7t5902nI25ehiq9l2oaDtc-gsjV7gmL0m1le768JI,jgjgjgjg1,1394,314,153,True,False,False,False
CHALLENGER,pHFdSpUonsIZDI2vfeMfPUFjb53MZ5lZ-y3MNGhn45wEY8P8,모두가 건강하길,752,159,113,False,False,True,False
CHALLENGER,cVsOTqDUtdAaOT_oKV4UzBBJudTKe6TT_gkUO9HHDG9qdA,sheng huo bu yi,723,373,330,False,False,True,True
CHALLENGER,kBJ8GUpbTBpycIZ3uX_8E7JXi4CsF0CBKEJM8uK7QSZewg8,DWG Canyon,1035,432,360,True,False,False,False
CHALLENGER,eE-uv7jPdTUgy-aPpaBGVaTYbYQoMJq221vV9NCs-1tMJw,미쳐놈,1060,717,644,True,False,False,False
CHALLENGER,zZdj5A_e0MZeMzNL1--5zkR4w8sIW3fxWYKcaXqwPPSPy1Y,10k EGO,737,565,510,False,False,True,False
CHALLENGER,enMqGTisHa-OH9OhXpKrUzyJr3mNjtG33pZAVcv37wL4ctA,supupsupupsupup,949,404,342,True,False,False,False
CHALLENGER,7N-xHRuKu_WzSPlkQDzruA2q8Li3vW3PGfIxH5wD-mED7Ns,gkstmdals,790,542,439,True,False,False,True
CHALLENGER,kFimgJW2D3BJFMY00f17dl00v-XobdzoMej8uXqpYndxORE,Milf Chocolate,836,307,252,False,False,False,False
