tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
GRANDMASTER,8MfGs8_0sWbpLj86Pue6ejq5n_Bw-toKSUYn54YZJPtayfQ,BRB P1S1S1,317,502,480,False,False,False,False
GRANDMASTER,TJ0KGAQ63AiSIC-bSkm_itc1U2n1rj2R9iSXx4XalUKHcj8,emulp c,387,678,591,True,False,False,False
GRANDMASTER,BDau6r2DNBkikJ74zvrO_1dufU4TIOIQPT0PVbO53lkLDGA,아진짜너무졸려,630,222,185,False,False,False,False
GRANDMASTER,V5hijEST1xllP0VJzxrOxBv81OLUKFyH6fBiLAJ1yNbES0U,FA Army,395,352,319,False,False,True,False
GRANDMASTER,Egg40SBdMrcHXvP-PujtsMIJJuLdpal2KdPGogc3BrfDoSE,그땐 그저 좋았다,343,212,182,False,False,True,False
GRANDMASTER,w0c8EfmCwX4f0hQ6nciGsnkYRYhWg9IprkiRV_v2CAs-qsA,Brush Eye,450,558,533,True,False,False,True
GRANDMASTER,xvDIklCCE9rcyJCavzXkCQLRNtO_e0BMs6g-ODrxUYlVM0Y,꼬요한게임,524,644,627,True,False,False,False
GRANDMASTER,CKCxx6rMRRtg13XO3TJ7uai3JhFb5iO5gfm9EoT5eHqZ19UJ,beer124,579,212,121,True,False,False,True
GRANDMASTER,H3rPnfizJF26p5e9Da4DDWVCwWaQ-zaBT7rOfZsOUTHx6UE,더높은곳으로비상,403,250,212,False,False,False,False
GRANDMASTER,Zze82iwWyB3cHAuyoc0ijd-qdRfKn_OWXEz41KlV-hwPVL8,JLJLJK,424,525,486,False,False,False,True
GRANDMASTER,oBWolsqOrxuJgwqcxLl_wNd38HCwuzFgGj3_l-k13hUTEo0,Time is silent,358,738,658,False,False,True,True
GRANDMASTER,_eswrTO8nl6OrGAu35l1iyYwIWvJxpT9F1dmGeAgcFJMcfM,혼자두면돌연사함,541,944,902,False,False,False,False
GRANDMASTER,KEUsFlfCOVV2BnlDof4hl_y2hpCMcvQU7ASS6EG_Gin1MQ,질 듯,637,586,545,True,False,False,False
GRANDMASTER,X8Ix31buSfRklweGfSBFTk3-mvyKlgWp5vHc0_9hUMQEqCM4,magiclove694,479,201,165,False,False,True,False
GRANDMASTER,CwYdJNXjEvE4MeEY17mokXDQg4um8cGcrKUZwIRMCCYs6e0,lure heart,568,224,193,False,False,True,False
GRANDMASTER,xXXLpTYOYt4F_7lhhRUvokaLmIrZa-_EJfXL9CgJC9H15pg,바쿠야,676,228,144,False,False,False,True
GRANDMASTER,G2fouLRAwDVdT4n3VrSzJVPbKr56J8Ai83GxCofX7_ZDCA,치킨요원,358,118,86,False,False,False,False
GRANDMASTER,OlssaY9icND-H6wmIh_4MjvAOXbk8EovErt8ZCTxmOIiCpI,yuanyouhui,547,737,630,False,False,False,False
GRANDMASTER,4AJLeytRhsJ9bNOZtHPnPYz74wVi7TVXs21F5ThHvO6XQEY,왕따석이,418,533,422,False,False,False,False
GRANDMASTER,-jSb9E3YddP26E8UkqqlKEup0CTjxcERoAERIKUduH5FDMc,Challenger Kat,354,356,261,False,False,True,False
GRANDMASTER,P_S5xdU28jryrtOcVGeUfiW0rkm_irdNHHJ4WsYva_oh2RE,mg1222,404,1048,1046,False,False,True,True
GRANDMASTER,drSxMMgb2jSRtAE5uD5DrXUKg_ag8InSELvnWJaLGhyfM1U,R0i,365,353,275,False,False,False,False
GRANDMASTER,WyB2mPtWndpxSn4ln7_AwUeXW8-7u9CjVtlmDOrXkbXUK7w,BOWNOW,592,346,325,False,False,True,False
GRANDMASTER,YIzYKufz-qOHcejYtt9Sx-fUtTECO31idBMGSVQli_cByhg,J00000000,378,296,173,False,False,False,True
GRANDMASTER,kSec-8Uo1U6eo6mOew40K0x98NxdqZrAGwAPrDttd0r-LGU,시로로로로로로로,609,143,103,True,False,False,True
GRANDMASTER,o4Jax7HKVgAvRbRljbzH941qucxX2PRe2NTyJDu3VaZpsKc,Mitake Ran OuO,459,290,256,True,False,False,False
GRANDMASTER,i57sE-acniW3KMTW45O4GDE3IMhx9MUSM-B8UWEkbdjFu_0,ADciooous,415,477,399,False,False,False,False
GRANDMASTER,YIYnZlwp9kga4EXtOBR9ZLGa8ppP72kZMOnqotwJvw_oSwg,빵속에 순우유,436,331,330,False,False,True,False
GRANDMASTER,JS54OrMFXvQcVyM21w5xU4HW9LSBp4qdStQrMoli0ohFL8k,Iove elise,405,175,90,False,False,False,False
GRANDMASTER,JUTXjWWINTLiQLo2dYiPaiUZfxaejLvYQbUwAbvhEXqO7lQ7,DYN Rlch,636,202,161,False,False,True,True
GRANDMASTER,H18D4mQJRX0c6StGskpnXIDwhPj4FwptebgfMnkwPwJ4XiE,밤이싫어,467,864,857,True,False,False,False
