,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,win_rate
1766,MASTER,F5Mqe7M4YJD1wMtk-uSu0yLX0CLG8ulh6HEIiz4lfn0VhAE,San Poring,199,382,365,False,False,False,True,51.138
1767,MASTER,KcupfL504dKA1-0sJYQhnlDZqXAGNMnd0e_dp5j5NGguCKE,zhongdan jayce,73,230,162,False,False,False,False,58.673
1768,MASTER,gMOtUuXTSX_YPMYRr-SMUN1Xp8-mWXBg9zWPcfyogM8GzIg,king of adc,30,251,201,False,False,True,False,55.531
1769,MASTER,pHPQQhHOrWDQKU4kz0YrCcJ_zZrzTvQMTwKdluEwchALlIM,zieyie,134,491,470,False,False,True,False,51.093
1770,MASTER,vhhq-cY8zp-tij-kBnmIl8hcQqm3a2C_78D79tfTxanuM6o,342335,137,361,346,True,False,False,False,51.061
1771,MASTER,-X4azWu748AkOPKvfFjnICudI5Nqj6TmJm_JZgKA-2QOPA,키173cm체중42kg,0,710,708,False,False,True,False,50.071
1772,MASTER,XMqokbCNhhOeK36CL_4f6TZy8LYCrdIGnUR3kXmZtqXbmYM,그루터기 커피,0,194,134,False,False,True,False,59.146
1773,MASTER,nSi-sxUTAQJjgNK-UBCm_FXubJA4gC-18zM3UYVHEAkkgv4,a new account,322,268,227,False,False,True,False,54.141
1774,MASTER,DVYYW5ovd7PWLZdRK74E8uUzqpcfxVY3y5xh_s4-4icZ0qw,최선을 다해보자,10,245,186,False,False,True,True,56.845
1775,MASTER,Qp87G1KBiGLuYFwPzamCRkgWfkM2U7R0IhBAppFyLEF9-gA,Roach,46,388,376,False,False,False,False,50.785
1776,MASTER,kWd-skOLsVrMXrb1Iusz8E7Dgs4jljqhROdfXlew07HycZk,킹준식,17,161,137,False,False,False,False,54.027
1777,MASTER,grdA5zOhARWqA9-9PK5R0agSmJImDzttbMWoT_6PG74Kn3I,Ucal,0,92,81,False,False,False,False,53.179
1778,MASTER,S7AMv2wcuJBxGqx4Q9NziMJ26Une5avLlNwzvbt9N88HaA,서농이 전용 원딜,29,169,179,False,False,False,False,48.563
1779,MASTER,BkZn4nRNyIRUXDR2KjoV2dNbheDjzE_95YD7CXmNj_322RY,   XxxXyxXxyXxxX,130,162,129,False,False,False,False,55.67
1780,MASTER,9wwlDOng-LvkBSytMlZFOrBH2CPNLFg0BoqzrFCi_xqLtw,콩알탄콩콩,171,253,225,False,False,False,True,52.929
1781,MASTER,gcz0hg0ZpS2w70PAFICMhs5poeD-ZA8Wg9B_mJ9ylcvmKH4,한숨쉬는진이,46,209,180,False,False,False,True,53.728
1782,MASTER,Efl-v5kVb3p9T9F73l313AVdoaoMLF5s7t2E1Uw2SKchNwWz,선천적 나태함,181,100,31,False,False,False,False,76.336
1783,MASTER,G92_MQm8PLPl7N4tQs0c2fisAm_2L26FTXAZQPszXkwAplI,a9d6,63,247,197,False,False,False,False,55.631
1784,MASTER,MVmlvuuWM3BnXHINippIoYzAyho6IMtxDvNKyb8o8vkLJRE,letting it burn,116,534,499,False,False,False,False,51.694
1785,MASTER,eoDPQTLRxFXcupEeaEO0VmFzwvnLMaXRt6mN9Axya4ulCIQ,Fox B Electro,0,426,365,False,False,True,False,53.856
1786,MASTER,wIdiul7f1ItDZsR7l0SyzHM0AGIC-2_3yywRoSJFgBXJJQw,AuSong,39,587,535,False,False,True,False,52.317
1787,MASTER,8HbVNbJAk-Z5Q6gkM_qGwzEiyUpLr_brfrXduHwKkx0rwYQ,lIlIIlllIlIIllIl,31,226,134,False,False,True,True,62.778
1788,MASTER,uSbi0tq-IR44Irv7H5937bGvDxuBCB3itmD4GfREaNvBjHA,가민준가민준가민준가민준가민준,35,106,40,False,False,True,True,72.603
1789,MASTER,TL5lWe_B9S6T0qhtzv5MhTPcYwrxBFw3YamYoXK5kHh2Yzo,메이덴,137,619,614,False,False,True,False,50.203
1790,MASTER,90g8qYH-od29hGiaVe0PQZpMSS3Rj-uHXsYpbfYNzjSWFU8,이남규,15,214,199,False,False,True,False,51.816
1791,MASTER,LuoqyRYIjZd88021EnMaa4oDqPaNy94FUhhNwN1Wb8STquI,Love Janna,232,798,816,False,False,True,False,49.442
1792,MASTER,nbBNvkVUvdIg4CJFDxVYsaKQ5ZZTdNf4VNxtueTNYVAXug,예 예 알겠읍니다,120,364,342,False,False,False,False,51.558
1793,MASTER,vGDwUEJKwog4qw-VfT75bzO2SOwQTgFt5BR1LEXKGjvTaOQ,19살무직백수,110,526,455,False,False,False,False,53.619
1794,MASTER,WwdArjcEyWyUin0WxlYbWpXEk-tI7EmaopT40chQIvJGlflZ,Jugyang001,102,163,92,False,False,False,False,63.922
1795,MASTER,qPfmuuShCX08Sp7rNBX5PhapQeXqOO9QRSL5X3WjMyYZ2bUi,경빈이는 죽었다,2,124,62,False,False,True,False,66.667
1796,MASTER,A5Lx2XaoXJnm_zUthxxPZczbSTAFVDzHAZxFnKWK8dUAvyQ,달달중독,0,65,31,False,False,True,True,67.708
1797,MASTER,R1d3iXVGAnxUUGmVIRaxkyWbEzKd2wnAe7fpBFXuuMa_Vbk,곰돌이손바닥,0,139,120,False,False,False,False,53.668
1798,MASTER,H7EFNJHMzxr-hy7wx0pJ1Dq1rU4YMO73SGKZ7Q1a5eat-OM,명문대자,94,442,404,False,False,False,True,52.246
1799,MASTER,4mqGwhrslFhtUmvzimYvYxVUCWTYWJHwF3AIsBbzkZr_QNU,Crowded Places,0,531,512,False,False,True,True,50.911
1800,MASTER,eJ6pmO_YI6wg_6kJcslcxgkZnrRkheOowiyLoGQ9_QFu2Zk,난 한민수,19,320,283,False,False,False,False,53.068
1801,MASTER,ZHvllRXH5xX7Je0qlIb3pQKHydJ0sI6hedpFdkOXh6UYv9A,후냐앙,0,160,143,False,False,True,False,52.805
1802,MASTER,WQ3Qi3XhQDu6EZ7QdsBy0DwXuC-_XIZ_WsFZpFahAg-jOw,예날드덕,14,473,451,False,False,True,False,51.19
1803,MASTER,JE1WJmb5OElAXVH6K7KVVed5c19Xc76RkQovjqnDin5lDKE,젱 글,132,146,117,False,False,True,False,55.513
1804,MASTER,deDTHrCIrHkg6d0QjdC90ulKfeMTYwTOWmV-cnG7Vjw8PgM,벌이2,144,297,276,False,False,False,False,51.832
1805,MASTER,kkPbJhwnB68N-FciGVEy3CmJfnzxciP-atLzrrEVswSAxeU,qing hui da 1988,38,537,460,False,False,False,False,53.862
